ID,Sentence,Annotation,Notes
320,"“But where do many of these governmental elaborations come from?” asks the secretary of the Des Moines Bureau of Municipal Research.
",G8,
238,"Two children in every nine are so far handicapped physically or mentally as to need special treatment and training.
",G6,
171,"That you will be hearing.
",G10,
709,"The monkeypox could “mutate” if antiviral drugs are overused, according to a recent warning from the Food and Drug Administration.
",G8,
589,"Stakeholder capitalism poisons democracy, argues Vivek Ramaswamy
",G8,
456,"In states with shortages, it's also far more difficult to find teachers for math, science, and special education classes.
",G1,"I put G1 because of ""far more"". "
60,"In a turbulent world, these strengths are bringing London back to the attention of the global elite again.",G1,
458,"""The extra load and duties make coming back less and less appealing every year.""
",G8,
527,"As of last year, California and Colorado had banned the phrase “illegal alien” in state laws.
",G6,
414,"Some states are loosening eligibility requirements.
",G10,
255,"Well, but “a law” means in every case to interfere by power of government, backed by the public credit.
",G1,
679,"Belgrade was chosen over Barcelona, Dublin and Lisbon to host EuroPride 2022.
",G6,
401,"The increase is once again intended to combat the high level of inflation being experienced by the U.S. and much of the world.
",G6,
184,"Trenton, for example, has made the word taboo.
","G6, G10",
641,"Its authors, including Zheng Song of the Chinese University of Hong Kong, tried to explain China’s distinctive pace and pattern of development.
",G10,
671,"But a last-minute police ban on Saturday’s EuroPride parade, the planned climax of the week-long programme, has cast a spotlight on the ongoing struggle for equality in the Balkans.
",G6,
117,"Why?
",G9,I'm constantly wondering that myself.
700,"If it’s this bad this year, then I’m afraid of what’s going to happen next year.”",G8,
533," “It strikes me as interesting that the Chief Justice issued a statement,” Levey told me for another article.
",G8,
139,"Was it a myth?
",G9,
685,"“This [cancellation] shows the necessity of hosting EuroPride in Belgrade,” Mihailović said.
",G8,
353,"University of Washington epidemiologist Ali Mokdad predicted a rise in reported COVID-19 cases.
",G8,
133,"As the total national income falls, the proportion of it absorbed by government will rise.
",G10,
433,"Why are teachers unhappy?
","G9, G2",
49,"This had several side effects – namely that PCL became mostly lined with empty properties and prices went into ‘trophy’ mode.
",G1,
387,"So, I dunno…",G9,
601,"Yulin, a city in Shaanxi province, imposed a fine of 66,000 yuan ($9,500) on a grocer for selling 2.5kg of subpar celery.
",G6,
633,"China’s currency is also weakening.
",G6,
551,"Stakeholder capitalism refers—or at least used to refer—to the idea that companies should serve not just their shareholders, but also other societal interests.
",G6,
481,"There’s an Ilhan Omar angle and a Mecca angle.
",G9,
138,"The last may go very deep.
",G9,
15,"Shippers are reporting more delays and higher rates in 2022 than the previous two years.
",G8,
445,"In Florida, there are about 8,000 teacher vacancies, and according to the Florida Policy Institute, about 450,000 kids started school last year without a permanent teacher.
",G8,
232,"In the whole country there are approximately 500,000 separate units of government.
",G6,
325,"With a national income of not more than $60 billion this year, we are obliged to buy more government than we bought with a national income of nearly $90 billion in 1929; moreover, in this depression, we are obliged to buy a good deal of it on the deferred-payment plan.
",G2,
502,"New Mexico Republicans denounced the ruling.
",G6,
566,"WHEN I FIRST started writing about the rise of “stakeholder capitalism” in corporate America—and its close cousin, the ESG (environmental, social and governance) movement in capital markets—I had to explain what these terms meant because they were new concepts to most audiences.
","G1, G7",
167,"By economy, by the elimination of graft and needless waste, by a consolidation of government’s competitive parts, by a reform of its structure to limit the number of local and civic units because duplication is costly.
",G1,
620,"In the past, economists have marvelled at its ability to stimulate spending when necessary, so as to meet its growth targets and adequately employ its busy workforce and workshops.
",G6,
169,"Fourteen states now have old-age pension laws, and 100 other old-age security measures are pending in forty state legislatures.
",G6,
663,"Mitic said that Dveri members were not against human rights or anti-discrimination laws protecting LGBTQ+ individuals in the workplace, for example, but that they opposed “the promotion of ideological homosexualism” that Pride represented.
",G8,
644,"It has allowed local authorities to issue another 500bn of “special bonds” (which are supposed to be repaid with revenues from the infrastructure projects they finance).
",G2,
227,"But with the public credit of a nation, it was different.
",G10,
322,"Out of the city’s own resources, unaided by creditors, the people of Detroit could not have enjoyed these benefits of social service.
",G10,
666,"This year, the party lobbied for a parliamentary vote to ban Pride and, when that failed, it organised protests.
",G6,
261,"All of it has sometime to be paid out of taxes; and even those who may not pay these future taxes directly will pay them indirectly in the cost of the houses they rent, the food they eat, the clothes they wear, the gas they burn in their motor cars—in every item of the cost of getting born, growing up, growing old, even dying.
",G1,
51,"Firstly and most evidently, demand – and prices – are on the up.
",G6,
295,"Many originate with educational, recreational and sociological enthusiasts … These enthusiasts usually start by stating that such and such neighboring city has a certain public service or improvement; therefore, we ought to have it.
",G10,
154,"More than that, reducing the cost of government by measure tends to serve the most potent forces now acting to extend government.
",G1,
277,"In enlightened states it runs even higher.
",G10 ,Not sure about this one
211,"The states have also invaded the field of consumption taxes formerly used almost exclusively by the Federal Government.
",G1,invaded
311,"But when one expresses a timid doubt regarding the necessity for such and such a project because of the expense, these boosters argue, “The public demands it,” when, as a matter of fact, they themselves originated the scheme… Further tax-boosting influences emanate from the “per capita” or “model” standards.
",G8,
294,"Yet this unction is by most of us undeserved; it comes after the fact, with some sourness in it.
","G1, G7",
346,"Any alternative would be revolutionary in principle, such as, for example, as for the state to appropriate all wealth and administer it directly.
",G1,
622,"In principle, the central government could do more itself to revive growth.
",G1,
249,"The one least considered is what may be called the biological aspect, in which government is like an organism with such an instinct for growth and self-expression that if let alone it is bound to destroy human freedom—not that it might wish to do so but that it could not in nature do less.
",G5,
187,"Public credit belongs to the people as a whole and they may do anything with it they like.
",G1,
254,"When the railroads throw themselves on the hands of the government and demand public credit to save them from bankruptcy, these radical forces do not protest, or, if they do, it is in an academic sense only; and the reason for this is that they believe in the public ownership of railroads, and see, perhaps more clearly than the others, that such use of public credit tends to bring the experiment of state ownership to pass.
",G1,
711,"Are the rulers preparing us to accept another lockdown over a mutated monkeypox virus?
",G2,
606,"It is not like China to settle for such underperformance.
",G1,
569,"This is the strongest case for stakeholder capitalism.
",G1,
223,"The basis of this paradoxical inclination is the lack of personal will, and this lack of personal will itself comes from the horror of responsibility
",G1,
300,"It is clear, however, that in passing these responsibilities to government we should be exchanging freedom for something else as yet unnamed.
",G3,
332,"Whether this would be all for the best, or otherwise, is not yet the point.
",G9,
388,"Somewhere in-between is an optimum point, although I’ve never seen any discussion of where that would fall.
",G9,
135,"Taxes have risen to a point at which they begin to devour people’s possessions, and the taxpayer is wild for relief.
",G4,
114,"Therefore these unprecedented uses of the public credit now being made, and proposed to be made, are to meet a crisis that must soon pass.
",G1,
344,"All the public treasuries will be rich.
",G10,
610,"Thanks to its deep property slump and the government’s “zero-covid” policy, which entails lockdowns in response to every outbreak of the virus, the economy is now forecast to grow by less than 3% in 2022, according to banks such as Nomura, Morgan Stanley and ubs.
","G8, G1",
168,"Such competition is embarrassing and unscientific from the common point of view of government seeking revenue.
",G4,
645,"In addition, the ever-present threat of lockdowns has crushed the confidence of consumers and entrepreneurs.
",G1,
517,"In theory, the problematic behavior parts of the New Mexico ruling could still prevent an illegal alien from being given authorization to practice law, but don’t count on it.
",G9,
244,"But that will be only like pruning the tree, for lustier growth hereafter, unless we settle what public credit is for in principle and limit in a drastic manner the ferocious growth of government.",G5,
331,"A third formation of forces moving in a parallel manner to absorb the national income by extension of government is made up of practical reformers, idealists, good-government people, with or without any political theory.
",G10 ,i dont;t understand if it's irony or not
287,"This pain is the terror of government because it arrests its growth.
",G1,
219,"Moreover, these forces are thoughtless.
",G1,
183,"Thus, government responsibility for old-age security, child life, tonsils, widows, backward mentalities, employment insurance, better maternity, public nursing, recreation, adult play, plumbing, housing, right nurture, infant feeding, vocational guidance, the use of leisure, everything of the good life for everybody, as a responsibility of the state, to procure it, provide it, superintend it.
",G2,
665,"It has been a bumpy road even to this juncture.
",G12,
649,"Gone are the days when they led the world in recession-busting
",G12,
592,"His voice counts for less when corporate elites use market power to settle political questions.
",G1,
308,"Everyone knows that impulse.
",G1,Not sure
267,"And all this intelligent uproar is in a sense superficial and probably delusive.
",G1,
125,"What they have in common is a certain reaction to the sight of human misery, squalor, discomfort, disadvantage or what they believe to be curable wretchedness.
",G1,
146,"And now you will see a selective struggle taking place within government itself.
",G10,
46,"As this logistics system becomes more interdependent and fragile, the potential leverage of these workers increases to a dramatic level.
",G5,
460,"The pandemic and politics are two primary factors.
",G10,
44,"Regardless of whether this tentative agreement is approved or not, deep issues with the rail system will remain.
",G9,
623,But no one fights covid-19 like China.,G1,
571,"No citizen in a democratic society should want executives from $10trn financial institutions to play a larger role than they already do in defining and implementing social values.
",G3,
207,"Why should not everyone pay an income tax?
",G9,
312,"Obviously, we cannot continue in this direction without consequences either disastrous in fact or revolutionary in principle.
",G3,
161,"In the minutes of the Chicago City Council, May 12th last is the perfect example of how commonly we regard public credit.
",G1,
577,"But as I awaited a rebuttal to my argument, something curious happened: the world’s greatest proponents of stakeholder capitalism responded with the surprising claim that actually stakeholder capitalism is indeed the same thing as plain old capitalism.
",G1,
730,"Is monkeypox going to be the “cause” of another lockdown?
",G2,
646,"It could increase spending or help bridge the financial gaps suffered by lower levels of government.
",G3,
144,"No government ever surrenders power, even its emergency powers—not really.
",G1,i don't get this one
202,"If only such ideas as these now current do prevail, and if they work, we shall have enormously increased the power of self-extension which is already inherent in government.
",G1,
547,"These illegal-alien lawyers will now be allowed to try to prevent their fellow illegal aliens from being deported.
","G2, G4",
204,"Then we should all be working for government, either directly as state employees or indirectly to support the employees of the state.
",G3,
124,"If taxation meanwhile has to be heavily increased, so much the better, so long as the increase is, as it certainly will be, in the field of popular taxes, for thereby wealth is redistributed downward and capitalist society, in which they disbelieve, is on its way to trouble.
",G1,
