ID,Sentence,Annotation,Notes
320,"“But where do many of these governmental elaborations come from?” asks the secretary of the Des Moines Bureau of Municipal Research.
",OBJ,
238,"Two children in every nine are so far handicapped physically or mentally as to need special treatment and training.
",OBJ,
171,"That you will be hearing.
",OBJ,not sure
709,"The monkeypox could “mutate” if antiviral drugs are overused, according to a recent warning from the Food and Drug Administration.
",OBJ,
589,"Stakeholder capitalism poisons democracy, argues Vivek Ramaswamy
",OBJ,
456,"In states with shortages, it's also far more difficult to find teachers for math, science, and special education classes.
",OBJ,
60,"In a turbulent world, these strengths are bringing London back to the attention of the global elite again.",SUBJ,
458,"""The extra load and duties make coming back less and less appealing every year.""
",OBJ,
527,"As of last year, California and Colorado had banned the phrase “illegal alien” in state laws.
",OBJ,
414,"Some states are loosening eligibility requirements.
",OBJ,
255,"Well, but “a law” means in every case to interfere by power of government, backed by the public credit.
",SUBJ,
679,"Belgrade was chosen over Barcelona, Dublin and Lisbon to host EuroPride 2022.
",OBJ,
401,"The increase is once again intended to combat the high level of inflation being experienced by the U.S. and much of the world.
",OBJ,
184,"Trenton, for example, has made the word taboo.
",OBJ,
641,"Its authors, including Zheng Song of the Chinese University of Hong Kong, tried to explain China’s distinctive pace and pattern of development.
",OBJ,
671,"But a last-minute police ban on Saturday’s EuroPride parade, the planned climax of the week-long programme, has cast a spotlight on the ongoing struggle for equality in the Balkans.
",OBJ,
117,"Why?
",OBJ,
700,"If it’s this bad this year, then I’m afraid of what’s going to happen next year.”",OBJ,
533," “It strikes me as interesting that the Chief Justice issued a statement,” Levey told me for another article.
",OBJ,
139,"Was it a myth?
",OBJ,
685,"“This [cancellation] shows the necessity of hosting EuroPride in Belgrade,” Mihailović said.
",OBJ,
353,"University of Washington epidemiologist Ali Mokdad predicted a rise in reported COVID-19 cases.
",OBJ,
133,"As the total national income falls, the proportion of it absorbed by government will rise.
",SUBJ,speculation?
433,"Why are teachers unhappy?
",OBJ,
49,"This had several side effects – namely that PCL became mostly lined with empty properties and prices went into ‘trophy’ mode.
",OBJ,
387,"So, I dunno…",SUBJ,
601,"Yulin, a city in Shaanxi province, imposed a fine of 66,000 yuan ($9,500) on a grocer for selling 2.5kg of subpar celery.
",OBJ,
633,"China’s currency is also weakening.
",OBJ,
551,"Stakeholder capitalism refers—or at least used to refer—to the idea that companies should serve not just their shareholders, but also other societal interests.
",OBJ,
481,"There’s an Ilhan Omar angle and a Mecca angle.
",OBJ,
138,"The last may go very deep.
",SUBJ,
15,"Shippers are reporting more delays and higher rates in 2022 than the previous two years.
",OBJ,
445,"In Florida, there are about 8,000 teacher vacancies, and according to the Florida Policy Institute, about 450,000 kids started school last year without a permanent teacher.
",OBJ,
232,"In the whole country there are approximately 500,000 separate units of government.
",OBJ,
325,"With a national income of not more than $60 billion this year, we are obliged to buy more government than we bought with a national income of nearly $90 billion in 1929; moreover, in this depression, we are obliged to buy a good deal of it on the deferred-payment plan.
",SUBJ,
502,"New Mexico Republicans denounced the ruling.
",OBJ,
566,"WHEN I FIRST started writing about the rise of “stakeholder capitalism” in corporate America—and its close cousin, the ESG (environmental, social and governance) movement in capital markets—I had to explain what these terms meant because they were new concepts to most audiences.
",OBJ,
167,"By economy, by the elimination of graft and needless waste, by a consolidation of government’s competitive parts, by a reform of its structure to limit the number of local and civic units because duplication is costly.
",SUBJ,advice?
620,"In the past, economists have marvelled at its ability to stimulate spending when necessary, so as to meet its growth targets and adequately employ its busy workforce and workshops.
",OBJ,
169,"Fourteen states now have old-age pension laws, and 100 other old-age security measures are pending in forty state legislatures.
",OBJ,
